"","CatchId","Stage","Discharge (m3s-1)"
"2343",17595277,5.4864,1519.93257529
"2344",17595277,5.7912,1722.25132868
"2345",17595277,6.096,1958.09081379
"2346",17595277,6.4008,2202.12031831
"2347",17595277,6.7056,2470.07107681
"2348",17595277,7.0104,2747.17191972
"2349",17595277,7.3152,3032.71740005
"2350",17595277,7.62,3349.962113
"2351",17595277,7.9248,3686.20216109
"2352",17595277,8.2296,4061.67228831
"2353",17595277,8.5344,4455.40239715
"2354",17595277,8.8392,4860.18996327
"2355",17595277,9.144,5292.51241122
"2356",17595277,9.4488,5757.47109131
"2357",17595277,9.7536,6217.50598136
"2358",17595277,10.0584,6702.21079264
"2359",17595277,10.3632,7217.7335259
"2360",17595277,10.668,7748.07387479
"2361",17595277,10.9728,8301.30781669
"2362",17595277,11.2776,8853.89001571
"2363",17595277,11.5824,9421.15413721
"2364",17595277,11.8872,10028.1183008
"2365",17595277,12.192,10672.8872169
"2366",17595277,12.4968,11335.9437447
"2367",17595277,12.8016,11977.2727656
"2368",17595277,13.1064,12665.8079594
"2369",17595277,13.4112,13379.4775902
"2370",17595277,13.716,14070.7459844
"2371",17595277,14.0208,14780.0615804
"2372",17595277,14.3256,15538.3230142
"2373",17595277,14.6304,16338.2256518
"2374",17595277,14.9352,17143.8205559
"2375",17595277,15.24,18000.8160124
"2376",17595277,15.5448,18899.9538113
"2377",17595277,15.8496,19767.2233925
"2378",17595277,16.1544,20647.5668229
"2379",17595277,16.4592,21623.5350618
"2380",17595277,16.764,22617.4281784
"2381",17595277,17.0688,23479.8620948
"2382",17595277,17.3736,24427.0577681
"2383",17595277,17.6784,25419.3721005
"2384",17595277,17.9832,26425.7616903
"2385",17595277,18.288,27406.1470435
"2386",17595277,18.5928,28451.9350301
"2387",17595277,18.8976,29523.6022025
"2388",17595277,19.2024,30599.1041585
"2389",17595277,19.5072,31727.1110914
"2390",17595277,19.812,32878.4356051
"2391",17595277,20.1168,34106.4333674
"2392",17595277,20.4216,35284.6434417
"2393",17595277,20.7264,36477.5391317
"2394",17595277,21.0312,37719.8882937
"2395",17595277,21.336,38994.5928193
"2396",17595277,21.6408,40376.4360301
"2397",17595277,21.9456,41674.4323429
"2398",17595277,22.2504,43080.179256
"2399",17595277,22.5552,44470.6215017
"2400",17595277,22.86,45916.2387936
"2401",17595277,23.1648,47328.2743774
"2402",17595277,23.4696,48807.4438624
"2403",17595277,23.7744,50241.0286292
"2404",17595277,24.0792,51732.4974166
"2405",17595277,24.384,53295.4927554
"2406",17595277,24.6888,54886.5595465
"2407",17595277,24.9936,56400.2214517
"2408",17595189,0,0
"2409",17595189,0.3048,8.31923799344
"2410",17595189,0.6096,26.3165058119
"2411",17595189,0.9144,51.2658351733
"2412",17595189,1.2192,82.3884312516
"2413",17595189,1.524,119.463554691
"2414",17595189,1.8288,156.622491915
"2415",17595189,2.1336,200.18099844
"2416",17595189,2.4384,253.39208087
